FID,OCEAN_REGION,COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,DAY,MONTH,YEAR,MONTHS_SINCE_PEAK,MAX_DEPTH_m,DEPTH_RAW,SEVERITY_CODE,%_BLEACHED,%_BLEACHED_RAW,MORTALITY_CODE,%_MORTALITY,%_MORTALITY_RAW,SURVEY_TYPE,OTHER_DRIVERS,SOURCE,CITATION,COMMENTS,DATABASE_CODE,INTERNAL DATA -->,ENTRY_CODE,MAP_CODE,LAT_CORRECTED,LON_CORRECTED,LAND,QC_CODE,CRW DATA -->,CRW_ID,CRW REGION,CRW REG VIRTUAL STATION NAME,CRW REG VIRTUAL STATION #,MIDPOINT_OF_BLEACH_RANGE_%,MIDPOINT_OF_MORT_RANGE_%,CRW MORTALITY TIME ADJUST,CRW OBS TIMING,CRW DHW TO USE,CRW DAILY DHW,CRW ANNUAL MAX DHW,CRW DHW OFFSET,QA CODE,CRW ANN MAX DHW 2014,CRW ANN MAX DHW 2015,CRW ANN MAX DHW 2016,CRW ANN MAX DHW 2017,DATETIME,DHW,MAX_DHW,DATE_MAX_DHW,DAYS_FROM_MAX_DHW,MAX_ANNUAL_DHW,DATE_OF_MAX_DHW,IS_BEST_REPORT,spatial_cluster
359,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,11,10,1993,,33.5,21-33.5m,Mild,0.01058148148148148,0.01058148148148148,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,1993-10-11,1.17,,,60,1.17,1993-08-12,True,US_continent
391,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,25,9,1994,,33.5,21-33.5m,None,0.006666,0.006666,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,1994-09-25,0.0,,,0,0.0,1994-09-25,True,US_continent
496,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,8,10,1995,,33.5,21-33.5m,Mild,0.08158653846153846,0.08158653846153846,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,1995-10-08,2.77,,,16,2.77,1995-09-22,True,US_continent
2909,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,28,6,2000,,33.5,21-33.5m,None,0.004813333333333334,0.004813333333333334,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,2000-06-28,0.0,,,0,0.0,2000-06-28,True,US_continent
4308,Caribbean,U.S. Virgin Islands,Saint Thomas,Coculus Rock,18.31257,-64.86058,12,12,2002,,7,7m,Severe,0.73125,0.73125,1,0.075,0.075,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Diploria labyrinthiformis, Montastraea cavernosa, Madracis mirabilis, Porites divaricata, Porites porites, Siderastrea siderea, Diploria clivosa, Diploria strigosa, Orbicella faveolata, Porites astreoides, Millepora alcicornis, Solenastrea bournoni,   ",4,,,,18.3068,-64.84767,Yes,AAA,,,,,,,,,,,,,,,,,,,2002-12-12,0.78,,,63,0.78,2002-10-10,True,U.S. Virgin Islands
4309,Caribbean,U.S. Virgin Islands,Saint Thomas,Brewers Bay,18.34403,-64.98435,20,12,2002,,6,6m,Mild,0.06,0.06,1,0.09083333333333334,0.09083333333333334,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Diploria labyrinthiformis, Diploria strigosa, Orbicella annularis, Orbicella franksii, Porites astreoides, Porites porites, Orbicella faveolata,     ",4,,,,18.34403,-64.98435,No,AAA,,,,,,,,,,,,,,,,,,,2002-12-20,0.14,,,73,0.14,2002-10-08,True,U.S. Virgin Islands
4949,Caribbean,U.S. Virgin Islands,Saint Thomas,College Shoal East,18.18568,-65.07677,28,10,2003,,30,30m,Severe,0.8181818181818181,0.8181818181818181,1,0.03866666666666667,0.03866666666666667,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Agaricia agaricites, Orbicella species complex, Orbicella franksii, Porites astreoides, Siderastrea siderea, Diploria labyrinthiformis, Orbicella faveolata, Porites porites,    ",4,,,,18.18568,-65.07677,No,AAA,,,,,,,,,,,,,,,,,,,2003-10-28,1.11,,,4,1.11,2003-10-24,True,U.S. Virgin Islands
5096,Caribbean,U.S. Virgin Islands,Saint Thomas,South Capella,18.26267,-64.87237,4,12,2003,,20,20m,Moderate,0.2391666666666667,0.2391666666666667,2,0.1363157894736842,0.1363157894736842,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Orbicella franksii, Porites astreoides, Orbicella annularis, Orbicella faveolata, Porites porites, Siderastrea siderea, Colpophyllia natans, Madracis decactis, Agaricia agaricites, Montastraea cavernosa, Diploria labyrinthiformis, Orbicella species complex,   ",4,,,,18.26267,-64.87237,No,AAA,,,,,,,,,,,,,,,,,,,2003-12-04,1.49,,,34,1.49,2003-10-31,True,U.S. Virgin Islands
5800,Caribbean,U.S. Virgin Islands,Saint Croix,Mutton Snapper FSA,17.6366,-64.8624,20,10,2004,,24,24m,Mild,0.02,0.02,-1,,,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Orbicella franksii, Porites astreoides, Colpophyllia natans, Orbicella faveolata, Diploria clivosa, Montastraea cavernosa, Porites porites, Agaricia agaricites,    ",4,,,,17.6366,-64.8624,No,AA,,,,,,,,,,,,,,,,,,,2004-10-20,1.16,,,4,1.16,2004-10-16,True,U.S. Virgin Islands
6026,Caribbean,U.S. Virgin Islands,Saint Thomas,Coculus Rock,18.31257,-64.86058,7,12,2004,,7,7m,Severe,0.8,0.8,-1,,,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Siderastrea siderea, Montastraea cavernosa, Meandrina meandrites, Porites astreoides, Orbicella annularis, Porites porites, Diploria labyrinthiformis, Stephanocoenia intercepta, Agaricia agaricites, Diploria clivosa, Diploria strigosa, Colpophyllia natans,   ",4,,,,18.3068,-64.84767,Yes,AA,,,,,,,,,,,,,,,,,,,2004-12-07,0.58,,,53,0.58,2004-10-15,True,U.S. Virgin Islands
