FID,OCEAN_REGION,COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,DAY,MONTH,YEAR,MONTHS_SINCE_PEAK,MAX_DEPTH_m,DEPTH_RAW,SEVERITY_CODE,%_BLEACHED,%_BLEACHED_RAW,MORTALITY_CODE,%_MORTALITY,%_MORTALITY_RAW,SURVEY_TYPE,OTHER_DRIVERS,SOURCE,CITATION,COMMENTS,DATABASE_CODE,INTERNAL DATA -->,ENTRY_CODE,MAP_CODE,LAT_CORRECTED,LON_CORRECTED,LAND,QC_CODE,CRW DATA -->,CRW_ID,CRW REGION,CRW REG VIRTUAL STATION NAME,CRW REG VIRTUAL STATION #,MIDPOINT_OF_BLEACH_RANGE_%,MIDPOINT_OF_MORT_RANGE_%,CRW MORTALITY TIME ADJUST,CRW OBS TIMING,CRW DHW TO USE,CRW DAILY DHW,CRW ANNUAL MAX DHW,CRW DHW OFFSET,QA CODE,CRW ANN MAX DHW 2014,CRW ANN MAX DHW 2015,CRW ANN MAX DHW 2016,CRW ANN MAX DHW 2017,DATETIME,DHW,MAX_DHW,DATE_MAX_DHW,DAYS_FROM_MAX_DHW,MAX_ANNUAL_DHW,DATE_OF_MAX_DHW,IS_BEST_REPORT,spatial_cluster
391,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,25,9,1994,,33.5,21-33.5m,None,0.006666,0.006666,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,1994-09-25,0.0,,,0,0.0,1994-09-25,True,US_continent
2620,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,5,6,1999,,33.5,21-33.5m,None,0.003372619047619047,0.003372619047619047,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,1999-06-05,0.0,,,-75,0.93,1999-08-19,True,US_continent
2909,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,28,6,2000,,33.5,21-33.5m,None,0.004813333333333334,0.004813333333333334,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,2000-06-28,0.0,,,0,0.0,2000-06-28,True,US_continent
4093,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,10,6,2002,,33.5,21-33.5m,None,0.008559999999999998,0.008559999999999998,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,2002-06-10,0.0,,,-45,0.48,2002-07-25,True,US_continent
4840,Caribbean,U.S. Virgin Islands,Saint Thomas,Savana,18.34064,-65.08205,29,9,2003,,9,9m,Severe,0.692857142857143,0.692857142857143,1,0.066,0.066,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Orbicella species complex, Porites porites, Montastraea cavernosa, Diploria strigosa, Diploria labyrinthiformis, Porites astreoides, Orbicella franksii, Agaricia agaricites, Madracis pharensis, Siderastrea siderea, Orbicella annularis,    ",4,,,,18.34064,-65.08205,No,AAA,,,,,,,,,,,,,,,,,,,2003-09-29,0.62,,,-25,1.37,2003-10-24,True,U.S. Virgin Islands
5410,Caribbean,United States,Gulf of Mexico,Stetson Bank,28.1647671391,-94.2982826186,14,6,2004,,33.5,21-33.5m,None,0.003106521739130434,0.003106521739130434,-1,,,Repetitive Photostations,,FGBNMS,,Millepora alcicornis domiant coral. ,4,,,,28.1648,-94.2983,No,AA,,,,,,,,,,,,,,,,,,,2004-06-14,0.0,,,-58,0.48,2004-08-11,True,US_continent
6111,Pacific Ocean,United States,Maui,MAI-01,20.7623,-155.9798,25,2,2005,,,,None,0.0,0,-1,,,2 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,20.7623,-155.9798,No,AA,,,,,,,,,,,,,,,,,,,2005-02-25,0.0,,,0,0.0,2005-02-25,True,US_Hawaii
6112,Pacific Ocean,United States,Maui,MAI-03,20.6235,-156.1782,26,2,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.62,-156.1417,Yes,AA,,,,,,,,,,,,,,,,,,,2005-02-26,0.0,,,0,0.0,2005-02-26,True,US_Hawaii
6113,Pacific Ocean,United States,Hawaii,HAW-03,19.8639,-155.0868,27,2,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.8639,-155.0868,No,AA,,,,,,,,,,,,,,,,,,,2005-02-27,0.0,,,0,0.0,2005-02-27,True,US_Hawaii
6114,Pacific Ocean,United States,Hawaii,HAW-02,19.8423,-155.0828,27,2,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.8423,-155.0828,No,AA,,,,,,,,,,,,,,,,,,,2005-02-27,0.0,,,0,0.0,2005-02-27,True,US_Hawaii
