FID,OCEAN_REGION,COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,DAY,MONTH,YEAR,MONTHS_SINCE_PEAK,MAX_DEPTH_m,DEPTH_RAW,SEVERITY_CODE,%_BLEACHED,%_BLEACHED_RAW,MORTALITY_CODE,%_MORTALITY,%_MORTALITY_RAW,SURVEY_TYPE,OTHER_DRIVERS,SOURCE,CITATION,COMMENTS,DATABASE_CODE,INTERNAL DATA -->,ENTRY_CODE,MAP_CODE,LAT_CORRECTED,LON_CORRECTED,LAND,QC_CODE,CRW DATA -->,CRW_ID,CRW REGION,CRW REG VIRTUAL STATION NAME,CRW REG VIRTUAL STATION #,MIDPOINT_OF_BLEACH_RANGE_%,MIDPOINT_OF_MORT_RANGE_%,CRW MORTALITY TIME ADJUST,CRW OBS TIMING,CRW DHW TO USE,CRW DAILY DHW,CRW ANNUAL MAX DHW,CRW DHW OFFSET,QA CODE,CRW ANN MAX DHW 2014,CRW ANN MAX DHW 2015,CRW ANN MAX DHW 2016,CRW ANN MAX DHW 2017,DATETIME,DHW,MAX_DHW,DATE_MAX_DHW,DAYS_FROM_MAX_DHW,MAX_ANNUAL_DHW,DATE_OF_MAX_DHW,IS_BEST_REPORT,spatial_cluster
4840,Caribbean,U.S. Virgin Islands,Saint Thomas,Savana,18.34064,-65.08205,29,9,2003,,9,9m,Severe,0.692857142857143,0.692857142857143,1,0.066,0.066,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Orbicella species complex, Porites porites, Montastraea cavernosa, Diploria strigosa, Diploria labyrinthiformis, Porites astreoides, Orbicella franksii, Agaricia agaricites, Madracis pharensis, Siderastrea siderea, Orbicella annularis,    ",4,,,,18.34064,-65.08205,No,AAA,,,,,,,,,,,,,,,,,,,2003-09-29,0.62,,,-25,1.37,2003-10-24,True,U.S. Virgin Islands
7077,Caribbean,United States,Florida Keys,A1037,24.555,-81.435,18,8,2005,,6,5.6m,Moderate,0.364,0.364,0,0.001,0.001,Transects,,"Rodriguez, Alberto & Florida Reef Resilience Program","Eakin, C. M. et al. Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005. PLoS ONE 5, e13969 (2010).",Number of Corals: 77; Bleached Corals: 8; Pale Corals: 20,2,,EH,1.97227824,24.555,-81.435,No,AAA,,,,,,,,,,,,,,,,,,,2005-08-18,3.83,,,-7,5.18,2005-08-25,True,US_continent
7078,Caribbean,United States,Florida Keys,A1053,24.62,-81.37,18,8,2005,,3,2.7m,Severe,0.7,0.7,0,0.0,0,Transects,,"Rodriguez, Alberto & Florida Reef Resilience Program","Eakin, C. M. et al. Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005. PLoS ONE 5, e13969 (2010).",Number of Corals: 20; Bleached Corals: 6; Pale Corals: 8,2,,EH,-9999.0,24.59592,-81.37162,Yes,AAA-,,,,,,,,,,,,,,,,,,,2005-08-18,3.94,,,-7,5.29,2005-08-25,True,US_continent
7080,Caribbean,United States,"Reef Margin, Lower Keys, Florida Keys",A1043,24.557,-81.35,19,8,2005,,15,14.7m,Moderate,0.375,0.375,0,0.0,0,Transects,,"Ponce-Taylor, Daniel & Florida Reef Resilience Program","Eakin, C. M. et al. Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005. PLoS ONE 5, e13969 (2010).",Number of Corals: 16; Bleached Corals: 3; Pale Corals: 3,2,,EH,0.80409795,24.557,-81.35,No,AAA,,,,,,,,,,,,,,,,,,,2005-08-19,3.91,,,-6,5.06,2005-08-25,True,US_continent
7081,Caribbean,United States,"Reef Margin, Lower Keys, Florida Keys",A1041,24.562,-81.34,19,8,2005,,9,8.5m,Moderate,0.396,0.396,0,0.004,0.004,Transects,,"Cameron, Andy & Florida Reef Resilience Program","Eakin, C. M. et al. Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005. PLoS ONE 5, e13969 (2010).",Number of Corals: 48; Bleached Corals: 8; Pale Corals: 11,2,,EH,0.80409795,24.562,-81.34,No,AAA,,,,,,,,,,,,,,,,,,,2005-08-19,3.91,,,-6,5.06,2005-08-25,True,US_continent
7079,Caribbean,United States,Florida,"Lower Keys, Forereef, A1046",24.54778,-81.42558,19,8,2005,,11,11m,Mild,0.04225352112676056,0.04225352112676056,-1,,,Transects,,Florida Reef Resilience Program,,Number of Corals: 71; Bleached Corals: 3; Pale Corals: 18,4,,,,24.54778,-81.42558,No,AA,,,,,,,,,,,,,,,,,,,2005-08-19,3.46,,,-6,4.53,2005-08-25,True,US_continent
7083,Caribbean,United States,Florida,"Palm Beach, Inshore, A2111",26.72257,-80.0286,20,8,2005,,8,8m,None,0.0,0,-1,,,Transects,,Florida Reef Resilience Program,,Number of Corals: 22; Bleached Corals: 0; Pale Corals: 1,4,,,,26.72257,-80.0286,No,AA,,,,,,,,,,,,,,,,,,,2005-08-20,1.95,,,-5,2.6,2005-08-25,True,US_continent
7084,Caribbean,United States,Florida,"Palm Beach, Inshore, A3003",26.7093,-80.02848,20,8,2005,,7,7m,None,0.0,0,-1,,,Transects,,Florida Reef Resilience Program,,Number of Corals: 17; Bleached Corals: 0; Pale Corals: 0,4,,,,26.7093,-80.02848,No,AA,,,,,,,,,,,,,,,,,,,2005-08-20,1.95,,,-5,2.6,2005-08-25,True,US_continent
7082,Caribbean,United States,Florida,"Palm Beach, Inshore, A1112",26.7069,-80.03009,20,8,2005,,3,3m,None,0.0,0,-1,,,Transects,,Florida Reef Resilience Program,,Number of Corals: 7; Bleached Corals: 0; Pale Corals: 2,4,,,,26.7069,-80.03009,No,AA,,,,,,,,,,,,,,,,,,,2005-08-20,1.95,,,-5,2.6,2005-08-25,True,US_continent
7085,Caribbean,United States,Florida,"Martin, Undetermined, A4001",27.11207,-80.1254,21,8,2005,,5,5m,Moderate,0.125,0.125,-1,,,Transects,,Florida Reef Resilience Program,,Number of Corals: 8; Bleached Corals: 1; Pale Corals: 1,4,,,,27.11207,-80.1254,No,AA,,,,,,,,,,,,,,,,,,,2005-08-21,0.67,,,-4,1.43,2005-08-25,True,US_continent
